,words,probabilities
0,а-а,1.437876543919939e-05
1,ааа,1.437876543919939e-05
2,а-а-а,1.437876543919939e-05
3,а-а-а-а,1.437876543919939e-05
4,абажур,1.437876543919939e-05
5,аббат,1.437876543919939e-05
6,аббатство,1.437876543919939e-05
7,аббревиатура,1.437876543919939e-05
8,абвер,1.437876543919939e-05
9,Абдулла,1.437876543919939e-05
10,аберрация,1.437876543919939e-05
11,абзац,1.437876543919939e-05
12,абитуриент,1.437876543919939e-05
13,абонемент,1.437876543919939e-05
14,абонементный,1.437876543919939e-05
15,абонент,1.437876543919939e-05
16,абонентский,1.437876543919939e-05
17,абордаж,1.437876543919939e-05
18,абориген,1.437876543919939e-05
19,аборт,1.437876543919939e-05
20,абразивный,1.437876543919939e-05
21,абракадабра,1.437876543919939e-05
22,Абрам,1.437876543919939e-05
23,Абрамов,1.437876543919939e-05
24,Абрамович,1.437876543919939e-05
25,абрек,1.437876543919939e-05
26,абрикос,1.437876543919939e-05
27,абрикосовый,1.437876543919939e-05
28,абрис,1.437876543919939e-05
29,абсент,1.437876543919939e-05
30,абсолют,1.437876543919939e-05
31,абсолютизация,1.437876543919939e-05
32,абсолютизировать,1.437876543919939e-05
33,абсолютизм,1.437876543919939e-05
34,абсолютно,1.437876543919939e-05
35,абсолютность,1.437876543919939e-05
36,абсолютный,1.437876543919939e-05
37,абсорбент,1.437876543919939e-05
38,абсорбция,1.437876543919939e-05
39,абстрагирование,1.437876543919939e-05
40,абстрагировать,1.437876543919939e-05
41,абстрагироваться,1.437876543919939e-05
42,абстрактно,1.437876543919939e-05
43,абстрактный,1.437876543919939e-05
44,абстракционизм,1.437876543919939e-05
45,абстракционист,1.437876543919939e-05
46,абстракция,1.437876543919939e-05
47,абсурд,1.437876543919939e-05
48,абсурдно,1.437876543919939e-05
49,абсурдность,1.437876543919939e-05
50,абсурдный,1.437876543919939e-05
51,абсцесс,1.437876543919939e-05
52,абсцисса,1.437876543919939e-05
53,Абу,1.437876543919939e-05
54,абхаз,1.437876543919939e-05
55,абхазец,1.437876543919939e-05
56,Абхазия,1.437876543919939e-05
57,абхазский,1.437876543919939e-05
58,абы,1.437876543919939e-05
59,авангард,1.437876543919939e-05
60,авангардизм,1.437876543919939e-05
61,авангардист,1.437876543919939e-05
